,comment,sentiment_scores
67,had to cancel my tickets for barbie after this was intense,"{'neg': 0.163, 'neu': 0.732, 'pos': 0.106, 'compound': -0.1779}"
68,here are my main takeaways  there were a lot of generationally smart people on earth at the same time several names i recognized from textbooks that i didnt realize knew each other and worked together it could be because im not actively studying scientific journals but it seems like we dont have as many einsteins bohrs and oppenheimers these days  the movie had way more political undertones than i was expecting really highlighted that some of the madness we see in politics has existed for centuries,"{'neg': 0.058, 'neu': 0.887, 'pos': 0.055, 'compound': -0.0595}"
69,the  minutes leading up to the bomb going off had my heart racing,"{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.8481}"
70,the thing that makes this movie incredible is i dont even know where to start with it albert einstein is in just a few scenes and on film for what  minutes and the portrayal is amazing and wonderful and heartwarming theres not a single bad performance in the movie oldman as truman is awesome and bold because all nolan does is portray truman as he was if you know history you know truman is a good manpresident and yet he comes off as a total asshole its remarkable downey and murphy are  but so are so many others blunt is superb branaugh is in  scenes basically and hes effing incredible the question of if we are doomed is so dark but powerful and the way the movie used oppenheimers imagination as surrealism and connects it back to him looking at art iswhew its just an awesome awesome piece of art the movie i mean im a history teacher and i try to convey to students how big a deal the bomb is it really is a break with the rest of our history as a species and arguably the most important thing weve ever done it will either destroy us or send us total the stars this movie summed up all my efforts at teaching this subject and then some,"{'neg': 0.05, 'neu': 0.773, 'pos': 0.178, 'compound': 0.9856}"
71,more serious blockbuster summer movies that are for adults please,"{'neg': 0.106, 'neu': 0.464, 'pos': 0.43, 'compound': 0.7082}"
72,so the  minute full penetration sex scene was not true,"{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.3252}"
73,i really gotta read all three volumes of das kapital in the original german so i can impress a cute psychiatrist at the next communist party i attend,"{'neg': 0.0, 'neu': 0.683, 'pos': 0.317, 'compound': 0.8797}"
74,everyone acted their asses off in this movie but i will continue to think about emily blunt and rdjs performances simply amazing did anyone catch who played truman i think it was some nobody whos never been in a movie before,"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.8519}"
75, this movie has possibly created a world record by having the most number of nobel laureates on screen i counted atleast ,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.3804}"
76,in my personal opinion the part thats meant to shake you is when oppenhiemer gives his speech when the war was announced over and the people were cheering but he also sees the destruction the bomb causes a crazy juxtaposition of the crowd not understanding the reality of the use of the bomb the movie was really trying to show that oppenhiemer truly believed that once the bomb was dropped once the whole world would be horrified and he hoped would be the end of the destruction so when he sees people drunk on patriotism he realized the chain reaction that would destroy the world was not a chemical reaction that he introduced but the chain reaction of drunk on power oppenhiemers ego made him feel godlike that he was all knowing and that he could create a peacetime but when truman blew him off and basically said im god oppenhiemer thought the politics and power hungry forces of the world would bring it to its end probably why he seemed relieved that the soviets got the tech so that power in the world would be dichotomas why the ending scene with einstein should haunt you is not any moral question of what was already done at that point but the understanding of the inevitably of science progressing and that each one of us has a responsibility of it after its here we are the chain reaction thats when einstein understood that his legacy would be tainted with the bomb because he started the chain reaction of understanding quantum mechanics so the moral question leaving the theatre should be we need to take this big leaps in science discovery with the care it needs before it runs away makes you think about who you are voting for how much tech you use and how we use ai the movie was a  but as an engineer that studied nuclear energy i am bit of a fanboy of the scientists involved it was like the art rennisance but for science the implications of discovery are still unraveling today ex quantum computing in the age of ai i already understood the science and what was happening and it was rewarding to get into the head of oppenhiemer and the politics and moral questions he had as a man maybe the movie rewards you more if you know more heading into the film due to the pace brilliant character study of one of the worlds most interesting people he felt the music he truly felt like a vessel of science and had higher devine purpose,"{'neg': 0.07, 'neu': 0.776, 'pos': 0.154, 'compound': 0.9933}"
